GEOID10,county_name,state_id,wh_office_name,region_name
23029,Washington,ME,Manchester NH District Office,Northeast Region
13191,McIntosh,GA,Atlanta GA District Office,Southeast Region
13179,Liberty,GA,Atlanta GA District Office,Southeast Region
60040,Swains Island,AS,Honolulu District Office,Western Region
60020,Manu'a,AS,Honolulu District Office,Western Region
60050,Western,AS,Honolulu District Office,Western Region
60010,Eastern,AS,Honolulu District Office,Western Region
72011,Anasco,PR,Caribbean District Office,Northeast Region
72015,Arroyo,PR,Caribbean District Office,Northeast Region
72017,Barceloneta,PR,Caribbean District Office,Northeast Region
72019,Barranquitas,PR,Caribbean District Office,Northeast Region
72021,Bayamon,PR,Caribbean District Office,Northeast Region
72025,Caguas,PR,Caribbean District Office,Northeast Region
72029,Canovanas,PR,Caribbean District Office,Northeast Region
72035,Cayey,PR,Caribbean District Office,Northeast Region
72037,Ceiba,PR,Caribbean District Office,Northeast Region
72039,Ciales,PR,Caribbean District Office,Northeast Region
72041,Cidra,PR,Caribbean District Office,Northeast Region
72043,Coamo,PR,Caribbean District Office,Northeast Region
72045,Comerio,PR,Caribbean District Office,Northeast Region
72047,Corozal,PR,Caribbean District Office,Northeast Region
72054,Florida,PR,Caribbean District Office,Northeast Region
72055,Guanica,PR,Caribbean District Office,Northeast Region
72057,Guayama,PR,Caribbean District Office,Northeast Region
72059,Guayanilla,PR,Caribbean District Office,Northeast Region
72061,Guaynabo,PR,Caribbean District Office,Northeast Region
72063,Gurabo,PR,Caribbean District Office,Northeast Region
72065,Hatillo,PR,Caribbean District Office,Northeast Region
72067,Hormigueros,PR,Caribbean District Office,Northeast Region
72097,Mayaguez,PR,Caribbean District Office,Northeast Region
72103,Naguabo,PR,Caribbean District Office,Northeast Region
72073,Jayuya,PR,Caribbean District Office,Northeast Region
72075,Juana Diaz,PR,Caribbean District Office,Northeast Region
72077,Juncos,PR,Caribbean District Office,Northeast Region
72079,Lajas,PR,Caribbean District Office,Northeast Region
72081,Lares,PR,Caribbean District Office,Northeast Region
72085,Las Piedras,PR,Caribbean District Office,Northeast Region
72091,Manati,PR,Caribbean District Office,Northeast Region
72093,Maricao,PR,Caribbean District Office,Northeast Region
72095,Maunabo,PR,Caribbean District Office,Northeast Region
72099,Moca,PR,Caribbean District Office,Northeast Region
72101,Morovis,PR,Caribbean District Office,Northeast Region
72105,Naranjito,PR,Caribbean District Office,Northeast Region
72107,Orocovis,PR,Caribbean District Office,Northeast Region
