state_code,area_code,areatype_code,area_name
0,0,N,National
1,11500,M,"Anniston-Oxford-Jacksonville, AL"
1,12220,M,"Auburn-Opelika, AL"
1,13820,M,"Birmingham-Hoover, AL"
1,19300,M,"Daphne-Fairhope-Foley, AL"
1,19460,M,"Decatur, AL"
1,20020,M,"Dothan, AL"
1,22520,M,"Florence-Muscle Shoals, AL"
1,23460,M,"Gadsden, AL"
1,26620,M,"Huntsville, AL"
1,33660,M,"Mobile, AL"
1,33860,M,"Montgomery, AL"
1,46220,M,"Tuscaloosa, AL"
1,100000,S,Alabama
1,100001,M,Northwest Alabama nonmetropolitan area
1,100002,M,Northeast Alabama nonmetropolitan area
1,100003,M,Southwest Alabama nonmetropolitan area
1,100004,M,Southeast Alabama nonmetropolitan area
2,11260,M,"Anchorage, AK"
2,21820,M,"Fairbanks, AK"
2,200000,S,Alaska
2,200006,M,Alaska nonmetropolitan area
4,22380,M,"Flagstaff, AZ"
4,29420,M,"Lake Havasu City-Kingman, AZ"
4,38060,M,"Phoenix-Mesa-Scottsdale, AZ"
4,39140,M,"Prescott, AZ"
4,43420,M,"Sierra Vista-Douglas, AZ"
4,46060,M,"Tucson, AZ"
4,49740,M,"Yuma, AZ"
4,400000,S,Arizona
4,400001,M,Arizona nonmetropolitan area
5,22220,M,"Fayetteville-Springdale-Rogers, AR-MO"
5,22900,M,"Fort Smith, AR-OK"
5,26300,M,"Hot Springs, AR"
5,27860,M,"Jonesboro, AR"
5,30780,M,"Little Rock-North Little Rock-Conway, AR"
5,38220,M,"Pine Bluff, AR"
5,500000,S,Arkansas
5,500001,M,North Arkansas nonmetropolitan area
5,500002,M,East Arkansas nonmetropolitan area
5,500003,M,West Arkansas nonmetropolitan area
5,500004,M,South Arkansas nonmetropolitan area
6,12540,M,"Bakersfield, CA"
6,17020,M,"Chico, CA"
6,20940,M,"El Centro, CA"
6,23420,M,"Fresno, CA"
6,25260,M,"Hanford-Corcoran, CA"
6,31080,M,"Los Angeles-Long Beach-Anaheim, CA"
6,31460,M,"Madera, CA"
6,32900,M,"Merced, CA"
6,33700,M,"Modesto, CA"
6,34900,M,"Napa, CA"
6,37100,M,"Oxnard-Thousand Oaks-Ventura, CA"
6,39820,M,"Redding, CA"
6,40140,M,"Riverside-San Bernardino-Ontario, CA"
6,40900,M,"Sacramento--Roseville--Arden-Arcade, CA"
6,41500,M,"Salinas, CA"
6,41740,M,"San Diego-Carlsbad, CA"
6,41860,M,"San Francisco-Oakland-Hayward, CA"
6,41940,M,"San Jose-Sunnyvale-Santa Clara, CA"
6,42020,M,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
6,42100,M,"Santa Cruz-Watsonville, CA"
6,42200,M,"Santa Maria-Santa Barbara, CA"
6,42220,M,"Santa Rosa, CA"
6,44700,M,"Stockton-Lodi, CA"
6,46700,M,"Vallejo-Fairfield, CA"
6,47300,M,"Visalia-Porterville, CA"
6,49700,M,"Yuba City, CA"
6,600000,S,California
6,600003,M,North Coast Region of California nonmetropolitan area
6,600006,M,Eastern Sierra-Mother Lode Region of California nonmetropolitan area
6,600007,M,North Valley-Northern Mountains Region of California nonmetropolitan area
8,14500,M,"Boulder, CO"
8,17820,M,"Colorado Springs, CO"
8,19740,M,"Denver-Aurora-Lakewood, CO"
8,22660,M,"Fort Collins, CO"
8,24300,M,"Grand Junction, CO"
8,24540,M,"Greeley, CO"
8,39380,M,"Pueblo, CO"
8,800000,S,Colorado
8,800001,M,Eastern and Southern Colorado nonmetropolitan area
8,800002,M,Southwest Colorado nonmetropolitan area
8,800003,M,Northwest Colorado nonmetropolitan area
9,71950,M,"Bridgeport-Stamford-Norwalk, CT"
9,72850,M,"Danbury, CT"
9,73450,M,"Hartford-West Hartford-East Hartford, CT"
9,75700,M,"New Haven, CT"
9,76450,M,"Norwich-New London-Westerly, CT-RI"
9,78700,M,"Waterbury, CT"
9,900000,S,Connecticut
9,900001,M,Connecticut nonmetropolitan area
10,20100,M,"Dover, DE"
10,1000000,S,Delaware
11,47900,M,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
11,1100000,S,District of Columbia
12,15980,M,"Cape Coral-Fort Myers, FL"
12,18880,M,"Crestview-Fort Walton Beach-Destin, FL"
12,19660,M,"Deltona-Daytona Beach-Ormond Beach, FL"
12,23540,M,"Gainesville, FL"
12,26140,M,"Homosassa Springs, FL"
12,27260,M,"Jacksonville, FL"
12,29460,M,"Lakeland-Winter Haven, FL"
12,33100,M,"Miami-Fort Lauderdale-West Palm Beach, FL"
12,34940,M,"Naples-Immokalee-Marco Island, FL"
12,35840,M,"North Port-Sarasota-Bradenton, FL"
12,36100,M,"Ocala, FL"
12,36740,M,"Orlando-Kissimmee-Sanford, FL"
12,37340,M,"Palm Bay-Melbourne-Titusville, FL"
12,37460,M,"Panama City, FL"
12,37860,M,"Pensacola-Ferry Pass-Brent, FL"
12,38940,M,"Port St. Lucie, FL"
12,39460,M,"Punta Gorda, FL"
12,42680,M,"Sebastian-Vero Beach, FL"
12,42700,M,"Sebring, FL"
12,45220,M,"Tallahassee, FL"
12,45300,M,"Tampa-St. Petersburg-Clearwater, FL"
12,45540,M,"The Villages, FL"
12,1200000,S,Florida
12,1200003,M,South Florida nonmetropolitan area
12,1200006,M,North Florida nonmetropolitan area
13,10500,M,"Albany, GA"
13,12020,M,"Athens-Clarke County, GA"
13,12060,M,"Atlanta-Sandy Springs-Roswell, GA"
13,12260,M,"Augusta-Richmond County, GA-SC"
13,15260,M,"Brunswick, GA"
13,17980,M,"Columbus, GA-AL"
13,19140,M,"Dalton, GA"
13,23580,M,"Gainesville, GA"
13,25980,M,"Hinesville, GA"
13,31420,M,"Macon, GA"
13,40660,M,"Rome, GA"
13,42340,M,"Savannah, GA"
13,46660,M,"Valdosta, GA"
13,47580,M,"Warner Robins, GA"
13,1300000,S,Georgia
13,1300001,M,North Georgia nonmetropolitan area
13,1300002,M,Middle Georgia nonmetropolitan area
13,1300003,M,East Georgia nonmetropolitan area
13,1300004,M,South Georgia nonmetropolitan area
15,27980,M,"Kahului-Wailuku-Lahaina, HI"
15,46520,M,"Urban Honolulu, HI"
15,1500000,S,Hawaii
15,1500001,M,Hawaii / Kauai nonmetropolitan area
16,14260,M,"Boise City, ID"
16,17660,M,"Coeur d'Alene, ID"
16,26820,M,"Idaho Falls, ID"
16,30300,M,"Lewiston, ID-WA"
16,38540,M,"Pocatello, ID"
16,46300,M,"Twin Falls, ID"
16,1600000,S,Idaho
16,1600006,M,Northwestern Idaho nonmetropolitan area
16,1600007,M,Southeast-Central Idaho nonmetropolitan area
17,14010,M,"Bloomington, IL"
17,16060,M,"Carbondale-Marion, IL"
17,16580,M,"Champaign-Urbana, IL"
17,16980,M,"Chicago-Naperville-Elgin, IL-IN-WI"
17,19180,M,"Danville, IL"
17,19500,M,"Decatur, IL"
17,28100,M,"Kankakee, IL"
17,37900,M,"Peoria, IL"
17,40420,M,"Rockford, IL"
17,44100,M,"Springfield, IL"
17,1700000,S,Illinois
17,1700001,M,Northwest Illinois nonmetropolitan area
17,1700002,M,West Central Illinois nonmetropolitan area
17,1700003,M,East Central Illinois nonmetropolitan area
17,1700004,M,South Illinois nonmetropolitan area
18,14020,M,"Bloomington, IN"
18,18020,M,"Columbus, IN"
18,21140,M,"Elkhart-Goshen, IN"
18,21780,M,"Evansville, IN-KY"
18,23060,M,"Fort Wayne, IN"
18,26900,M,"Indianapolis-Carmel-Anderson, IN"
18,29020,M,"Kokomo, IN"
18,29200,M,"Lafayette-West Lafayette, IN"
18,33140,M,"Michigan City-La Porte, IN"
18,34620,M,"Muncie, IN"
18,43780,M,"South Bend-Mishawaka, IN-MI"
18,45460,M,"Terre Haute, IN"
18,1800000,S,Indiana
18,1800001,M,Northern Indiana nonmetropolitan area
18,1800002,M,Central Indiana nonmetropolitan area
18,1800003,M,Southern Indiana nonmetropolitan area
19,11180,M,"Ames, IA"
19,16300,M,"Cedar Rapids, IA"
19,19340,M,"Davenport-Moline-Rock Island, IA-IL"
19,19780,M,"Des Moines-West Des Moines, IA"
19,20220,M,"Dubuque, IA"
19,26980,M,"Iowa City, IA"
19,43580,M,"Sioux City, IA-NE-SD"
19,47940,M,"Waterloo-Cedar Falls, IA"
19,1900000,S,Iowa
19,1900001,M,Northeast Iowa nonmetropolitan area
19,1900002,M,Northwest Iowa nonmetropolitan area
19,1900003,M,Southwest Iowa nonmetropolitan area
19,1900004,M,Southeast Iowa nonmetropolitan area
20,29940,M,"Lawrence, KS"
20,31740,M,"Manhattan, KS"
20,45820,M,"Topeka, KS"
20,48620,M,"Wichita, KS"
20,2000000,S,Kansas
20,2000006,M,Kansas nonmetropolitan area
21,14540,M,"Bowling Green, KY"
21,21060,M,"Elizabethtown-Fort Knox, KY"
21,30460,M,"Lexington-Fayette, KY"
21,31140,M,"Louisville/Jefferson County, KY-IN"
21,36980,M,"Owensboro, KY"
21,2100000,S,Kentucky
21,2100001,M,West Kentucky nonmetropolitan area
21,2100002,M,South Central Kentucky nonmetropolitan area
21,2100003,M,Central Kentucky nonmetropolitan area
21,2100004,M,East Kentucky nonmetropolitan area
22,10780,M,"Alexandria, LA"
22,12940,M,"Baton Rouge, LA"
22,25220,M,"Hammond, LA"
22,26380,M,"Houma-Thibodaux, LA"
22,29180,M,"Lafayette, LA"
22,29340,M,"Lake Charles, LA"
22,33740,M,"Monroe, LA"
22,35380,M,"New Orleans-Metairie, LA"
22,43340,M,"Shreveport-Bossier City, LA"
22,2200000,S,Louisiana
22,2200002,M,Central Louisiana nonmetropolitan area
22,2200003,M,Northeast Louisiana nonmetropolitan area
22,2200006,M,Southwest Louisiana nonmetropolitan area
23,70750,M,"Bangor, ME"
23,74650,M,"Lewiston-Auburn, ME"
23,76750,M,"Portland-South Portland, ME"
23,2300000,S,Maine
23,2300001,M,Northeast Maine nonmetropolitan area
23,2300002,M,Southwest Maine nonmetropolitan area
24,12580,M,"Baltimore-Columbia-Towson, MD"
24,15680,M,"California-Lexington Park, MD"
24,19060,M,"Cumberland, MD-WV"
24,25180,M,"Hagerstown-Martinsburg, MD-WV"
24,41540,M,"Salisbury, MD-DE"
24,2400000,S,Maryland
24,2400006,M,Maryland nonmetropolitan area
25,70900,M,"Barnstable Town, MA"
25,71650,M,"Boston-Cambridge-Nashua, MA-NH"
